Thesis EXIT89 Arc and Node Setup - hotel building 5 nodes in hall,,,,,,,,,,,,

1,2,3,4,5,6,7,8,9,10,11,12,13

Initial,,,,,,,,,,,,
,Title,"(text line) San Jose Marriott hotel exercise emergency speed, standard values, soviet, 7 nodes in hallway, no boundary layers in any component, using for EXIT89 Thesis run with 7 nodes",,,,,,,,,,

,,Units,Size,Speed,Path,Smoke,Contraflow,Output,Stairways,Travel Direction,,
,Columns,C1,C2,C3,C4,C5,C6,C7,C8,C9,,

,Options,1,3,2,1,2,0,1,2,1,,

,,Random Delay,Probability,Distribution,Min or STDDEV,Max or Mean,,,,,,
,Delay,2,100,2,19,42,,,,,,

,Zone,Beginning Floor,Ending Floor,Base Node Number,,,,,,,,
Arcset,Ground,1,1,100,,

,,Node 1,Distance node 1 to restriction,Restriction width,Distance restriction to node 2,Node 2
,Columns,C1,C2,C3,C4,C5
,Arc,198,2,3.7,15.5,0
,Arc,199,2,3.7,15.5,0
,Endset,,,,,

,Zone,Beginning Floor,Ending Floor,Base Node Number,,
Arcset,Ground,2,2,200,,

,,Node 1,Distance node 1 to restriction,Restriction width,Distance restriction to node 2,Node 2
,Columns,C1,C2,C3,C4,C5
,Arc,201,22,3,28,221
,Arc,202,16,3,22,221
,Arc,208,12,3,22,221
,Arc,209,24,3,28,221
,Arc,203,14,6,10,221
,Arc,204,13,3,21.5,222
,Arc,205,13,3,13.5,224
,Arc,206,13,3,8.5,225
,Arc,207,26,3,9,225
,Arc,220,26,3,6.5,225
,Arc,219,13,3,7.5,225
,Arc,218,13,3,13.5,224
,Arc,217,13,3,3.5,224
,Arc,216,13,3,21.5,224
,Arc,215,13,3,11.5,223
,Arc,221,14,7,14,222
,Arc,222,18,7,18,223
,Arc,223,18,7,18,224
,Arc,224,16,7,16,225
,Arc,225,10.5,3,3,227
,Arc,227,3,3,2,299
,Arc,214,13,3,13.5,223
,Arc,213,13,3,21.5,222
,Arc,212,13,3,3.5,222
,Arc,211,13,3,13.5,222
,Arc,210,13,3,3.5,221
,Arc,221,15,3,3,226
,Arc,226,3,3,2,298
,Endset,,,,,

,Zone,Beginning Floor,Ending Floor,Base Node Number,,
Arcset,Mezz,3,20,300,,

,,Node 1,Distance node 1 to restriction,Restriction width,Distance restriction to node 2,Node 2
,Columns,C1,C2,C3,C4,C5
,Arc,301,22,3,28,325
,Arc,302,16,3,22,325
,Arc,311,12,3,22,325
,Arc,312,24,3,28,325
,Arc,303,13,3,3.5,325
,Arc,304,13,3,13.5,326
,Arc,305,13,3,3.5,326
,Arc,306,13,3,21.5,326
,Arc,307,13,3,13.5,328
,Arc,308,13,3,7.5,329
,Arc,309,14,3,4,332
,Arc,310,10,3,4,332
,Arc,332,4,3,15.5,329
,Arc,323,14,3,6,333
,Arc,324,16,3,6,333
,Arc,333,7,3,10.5,329
,Arc,322,13,3,7.5,329
,Arc,321,13,3,13.5,328
,Arc,320,13,3,3.5,328
,Arc,319,13,3,21.5,328
,Arc,318,13,3,13.5,327
,Arc,325,14,7,14,326
,Arc,326,18,7,18,327
,Arc,327,18,7,18,328
,Arc,328,16,7,16,329
,Arc,329,10.5,3,3,331
,Arc,331,3,3,2,399
,Arc,317,13,3,13.5,327
,Arc,316,13,3,21.5,326
,Arc,315,13,3,3.5,326
,Arc,314,13,3,13.5,326
,Arc,313,13,3,3.5,325
,Arc,325,15,3,3,330
,Arc,330,3,3,2,398
,Endset,,,,,

,Zone,Beginning Floor,Ending Floor,Base Node Number,,
Arcset,1,21,22,2100,,

,,Node 1,Distance node 1 to restriction,Restriction width,Distance restriction to node 2,Node 2
,Columns,C1,C2,C3,C4,C5
,Arc,2101,22,3,28,2123
,Arc,2102,16,3,22,2123
,Arc,2110,12,3,22,2123
,Arc,2111,24,3,28,2123
,Arc,2103,13,3,3.5,2123
,Arc,2104,13,3,13.5,2124
,Arc,2105,13,3,3.5,2124
,Arc,2106,13,3,21.5,2124
,Arc,2107,13,3,13.5,2126
,Arc,2108,13,3,8.5,2127
,Arc,2109,26,3,9,2127
,Arc,2122,26,3,6.5,2127
,Arc,2121,13,3,7.5,2127
,Arc,2120,13,3,13.5,2126
,Arc,2119,13,3,3.5,2126
,Arc,2118,13,3,21.5,2126
,Arc,2117,13,3,13.5,2125
,Arc,2123,14,7,14,2124
,Arc,2124,18,7,18,2125
,Arc,2125,18,7,18,2126
,Arc,2126,16,7,16,2127
,Arc,2127,10.5,3,3,2129
,Arc,2129,3,3,2,2199
,Arc,2116,13,3,13.5,2125,,
,Arc,2115,13,3,21.5,2124,,
,Arc,2114,13,3,3.5,2124,,
,Arc,2113,13,3,13.5,2124,,
,Arc,2112,13,3,3.5,2123,,
,Arc,2123,15,3,3,2128,,
,Arc,2128,3,3,2,2198,,
,Endset,,,,,,,


,Zone,Beginning Floor,Ending Floor,Base Node Number,,,,
Arcset,St C,0,0,0,,,,Stairs already have correct arc numbering

,,Node 1,Distance node 1 to restriction,Restriction width,Distance restriction to node 2,Node 2,,
,Columns,C1,C2,C3,C4,C5,,
,Arc,2298,15.5,3.7,15.5,2198,,
,Arc,2198,15.5,3.7,15.5,2098
,Arc,2098,15.5,3.7,15.5,1998
,Arc,1998,15.5,3.7,15.5,1898
,Arc,1898,15.5,3.7,15.5,1798
,Arc,1798,15.5,3.7,15.5,1698
,Arc,1698,15.5,3.7,15.5,1598
,Arc,1598,15.5,3.7,15.5,1498
,Arc,1498,15.5,3.7,15.5,1398
,Arc,1398,15.5,3.7,15.5,1298
,Arc,1298,15.5,3.7,15.5,1198
,Arc,1198,15.5,3.7,15.5,1098
,Arc,1098,15.5,3.7,15.5,998
,Arc,998,15.5,3.7,15.5,898
,Arc,898,15.5,3.7,15.5,798
,Arc,798,15.5,3.7,15.5,698
,Arc,698,15.5,3.7,15.5,598
,Arc,598,15.5,3.7,15.5,498
,Arc,498,15.5,3.7,15.5,398
,Arc,398,15.5,3.7,15.5,298
,Arc,298,15.5,3.7,15.5,198
,Arc,2299,15.5,3.7,15.5,2199
,Arc,2199,15.5,3.7,15.5,2099
,Arc,2099,15.5,3.7,15.5,1999
,Arc,1999,15.5,3.7,15.5,1899
,Arc,1899,15.5,3.7,15.5,1799
,Arc,1799,15.5,3.7,15.5,1699
,Arc,1699,15.5,3.7,15.5,1599
,Arc,1599,15.5,3.7,15.5,1499
,Arc,1499,15.5,3.7,15.5,1399
,Arc,1399,15.5,3.7,15.5,1299
,Arc,1299,15.5,3.7,15.5,1199
,Arc,1199,15.5,3.7,15.5,1099
,Arc,1099,15.5,3.7,15.5,999,,,,,,
,Arc,999,15.5,3.7,15.5,899,,,,,,
,Arc,899,15.5,3.7,15.5,799,,,,,,
,Arc,799,15.5,3.7,15.5,699,,,,,,
,Arc,699,15.5,3.7,15.5,599,,,,,,
,Arc,599,15.5,3.7,15.5,499,,,,,,
,Arc,499,15.5,3.7,15.5,399,,,,,,
